date,beer,cars,steel,gas,electricity,temp
1961-07-01,78.7,13505.0,358.4,3007.0,2382.0,16.7
1961-08-01,87.1,14419.0,344.5,2880.0,2364.0,17.1
1961-09-01,91.4,12877.0,345.7,2490.0,2129.0,19.7
1961-10-01,109.9,16058.0,344.1,2237.0,2110.0,23.3
1961-11-01,116.3,19290.0,317.4,2205.0,2072.0,23.1
1961-12-01,113.0,13733.0,354.5,1984.0,1980.0,24.7
1962-01-01,100.0,13352.0,345.2,1868.0,1995.0,25.1
1962-02-01,84.8,17925.0,314.1,1815.0,1932.0,26.4
1962-03-01,94.3,21154.0,352.5,2047.0,2171.0,25.3
1962-04-01,87.1,18059.0,361.2,2142.0,2162.0,22.5
1962-05-01,90.3,23488.0,365.9,2743.0,2489.0,19.2
1962-06-01,72.4,18103.0,332.5,2775.0,2424.0,19.1
1962-07-01,84.9,22260.0,364.0,3028.0,2641.0,17.7
1962-08-01,92.7,27330.0,359.1,2965.0,2630.0,17.7
1962-09-01,92.2,25838.0,345.6,2501.0,2324.0,20.5
1962-10-01,114.9,28509.0,366.9,2501.0,2412.0,21.9
1962-11-01,112.5,28822.0,370.2,2131.0,2284.0,24.1
1962-12-01,118.3,21374.0,359.9,2015.0,2186.0,23.6
1963-01-01,106.0,21159.0,366.6,1910.0,2184.0,25.9
1963-02-01,91.2,25025.0,336.3,1868.0,2144.0,26.7
1963-03-01,96.6,22686.0,368.5,2121.0,2379.0,24.6
1963-04-01,96.3,22487.0,374.2,2268.0,2383.0,23.0
1963-05-01,88.2,26735.0,384.3,2690.0,2717.0,20.0
1963-06-01,70.2,21419.0,358.9,2933.0,2774.0,17.0
1963-07-01,86.5,26574.0,407.7,3218.0,3051.0,16.5
1963-08-01,88.2,26728.0,433.3,3028.0,2891.0,17.1
1963-09-01,102.8,26772.0,404.7,2659.0,2613.0,20.3
1963-10-01,119.1,26816.0,392.7,2406.0,2600.0,21.3
1963-11-01,119.2,28513.0,409.7,2258.0,2493.0,22.2
1963-12-01,125.1,21135.0,416.5,2057.0,2410.0,25.5
1964-01-01,106.1,14144.0,414.3,1889.0,2390.0,27.6
1964-02-01,102.1,27832.0,404.3,1984.0,2463.0,25.7
1964-03-01,105.2,28000.0,421.4,2110.0,2616.0,25.1
1964-04-01,101.0,31817.0,372.6,2311.0,2734.0,22.5
1964-05-01,84.3,30827.0,404.7,2785.0,2970.0,20.1
1964-06-01,87.5,30273.0,420.2,3039.0,3125.0,18.1
1964-07-01,92.7,32720.0,438.4,3229.0,3342.0,17.7
1964-08-01,94.4,28301.0,449.1,3070.0,3207.0,18.9
1964-09-01,113.0,31538.0,445.8,2659.0,2964.0,21.2
1964-10-01,113.9,21361.0,413.8,2543.0,2919.0,21.4
1964-11-01,122.9,29189.0,420.5,2237.0,2764.0,24.2
1964-12-01,132.7,23431.0,442.3,2142.0,2732.0,25.4
1965-01-01,106.9,12536.0,438.9,1962.0,2622.0,23.2
1965-02-01,96.6,24562.0,394.5,1910.0,2698.0,25.6
1965-03-01,127.3,34009.0,416.8,2216.0,2950.0,26.2
1965-04-01,98.2,30543.0,402.9,2437.0,2895.0,22.1
1965-05-01,100.2,33533.0,424.5,2817.0,3200.0,21.3
1965-06-01,89.4,32866.0,432.3,3123.0,3408.0,18.5
1965-07-01,95.3,28827.0,484.1,3345.0,3679.0,16.8
1965-08-01,104.2,29022.0,492.7,3112.0,3473.0,18.6
1965-09-01,106.4,28421.0,496.3,2659.0,3154.0,21.8
1965-10-01,116.2,23009.0,471.9,2469.0,3107.0,22.7
1965-11-01,135.9,26692.0,491.2,2332.0,3052.0,23.8
1965-12-01,134.0,19909.0,512.9,2110.0,2918.0,24.3
1966-01-01,104.6,8785.0,482.4,1910.0,2786.0,25.4
1966-02-01,107.1,21342.0,407.9,1941.0,2739.0,25.3
1966-03-01,123.5,27641.0,448.5,2216.0,3125.0,24.6
1966-04-01,98.8,24821.0,431.1,2342.0,3033.0,23.3
1966-05-01,98.6,28107.0,498.8,2923.0,3486.0,20.1
1966-06-01,90.6,27149.0,497.1,3229.0,3661.0,17.9
1966-07-01,89.1,24151.0,517.1,3513.0,3927.0,16.6
1966-08-01,105.2,25282.0,487.7,3355.0,3851.0,17.3
1966-09-01,114.0,22021.0,512.5,2849.0,3456.0,19.3
1966-10-01,122.1,22353.0,550.1,2680.0,3390.0,20.7
1966-11-01,138.0,26386.0,532.5,2395.0,3280.0,24.6
1966-12-01,142.2,21643.0,524.1,2205.0,3166.0,24.5
1967-01-01,116.4,13877.0,515.7,1994.0,3080.0,26.7
1967-02-01,112.6,27252.0,461.0,1952.0,3069.0,24.9
1967-03-01,123.8,28752.0,529.3,2290.0,3340.0,24.0
1967-04-01,103.6,26315.0,467.4,2395.0,3310.0,23.1
1967-05-01,113.9,31460.0,559.8,2965.0,3798.0,20.1
1967-06-01,98.6,26755.0,536.5,3239.0,3883.0,17.8
